employee,capital,months,location,sector
1,90998651.77,36,2,12
6,84097074.02,15,2,10
5,89623969.06,37,5,11
6,36075422.95,32,3,9
9,69990270.84,35,3,11
9,22312519.79,36,7,6
5,94096127.69,26,1,2
6,83144248.96,36,2,7
9,73894153.38,29,7,11
9,37414876.22,46,3,2
2,26916408.53,42,3,1
9,45489379.42,11,6,7
9,77032821.43,10,6,3
6,2244976.17,38,2,2
5,61525449.79,6,6,5
3,95721639.52,29,4,6
7,54642641.14,20,4,1
9,99348915.56,35,2,1
5,32457306.05,20,4,11
8,32049206.83,20,5,9
2,18332979.5,25,7,11
6,2705092.0,35,7,1
8,95626162.3,21,3,12
4,6478825.0,33,5,11
4,86914436.08,8,3,5
4,14607737.77,23,5,8
5,80781661.89,15,6,9
5,48911487.63,28,6,5
8,77909157.62,29,4,7
4,97662927.71,12,6,6
3,48876443.17,21,2,11
9,58186598.18,14,2,8
10,10034791.12,22,1,3
10,27642536.45,24,6,10
7,6318166.34,13,3,11
3,68976688.43,2,1,5
10,48693873.83,18,6,10
3,14189177.66,18,1,11
9,35801046.43,19,6,9
4,90615719.57,41,5,3
9,66500104.48,26,5,5
3,79855276.75,49,5,11
4,41069085.04,36,7,4
1,94401611.75,48,3,5
7,93419659.64,37,3,4
1,61469038.83,4,4,9
3,88298464.76,47,1,5
9,2081655.86,19,5,2
5,49676056.01,8,7,5
9,32038601.88,29,4,3
3,20043635.41,32,2,6
1,32361336.0,27,1,8
8,73600719.27,39,2,5
9,86330498.28,36,3,1
4,81206523.78,42,5,1
9,55800424.84,37,7,8
2,21689867.36,46,2,9
4,15662432.22,50,3,12
4,7807978.5,40,5,1
5,34108803.48,20,4,10
8,83365008.77,13,6,9
1,65152924.5,3,3,2
9,28663536.17,17,4,12
8,17834306.69,22,4,4
2,42389379.92,9,3,10
9,92620029.7,18,5,5
1,96336336.56,27,5,7
5,58689224.21,11,6,1
4,92473246.5,48,7,10
9,3122300.79,12,4,4
1,36571936.5,31,5,12
7,46217099.99,12,2,7
8,60307232.91,8,1,7
9,85114374.17,11,7,10
6,59232161.54,10,7,12
4,23457883.64,48,3,4
5,89955821.16,9,7,12
4,26328946.07,31,1,11
3,4589064.92,13,1,5
9,94065701.99,30,1,5
5,7866584.0,49,6,9
1,44397601.93,39,3,7
8,98219299.82,20,2,8
8,42696322.7,29,7,1
5,99426737.24,37,3,5
10,7310377.98,4,4,5
7,35107748.03,35,2,9
10,53276135.08,22,5,5
5,48544508.23,15,7,4
4,50833156.09,36,5,7
7,1215133.27,1,2,2
10,15497709.15,15,7,9
3,54882078.72,46,4,8
2,67842304.32,9,6,1
7,91655780.34,5,5,12
5,5223281.23,47,4,9
3,21140628.26,24,1,11
3,91069027.05,45,4,7
9,10465984.03,13,7,11
9,61618702.71,33,6,5
10,9607236.0,25,4,3
1,8169670.04,40,3,7
2,92991236.19,13,4,9
4,13495475.85,25,2,9
6,70256722.08,44,2,10
7,45431821.84,3,5,8
10,74138397.37,21,7,6
6,17460500.0,22,7,7
1,16931814.88,32,3,7
2,75011846.95,43,1,10
7,84912270.49,19,7,5
8,90216538.57,41,6,3
10,71606376.3,16,2,7
10,50263617.65,35,4,10
4,24781763.06,43,2,1
9,89694877.44,39,6,6
3,33475455.23,9,3,4
7,59238932.02,7,4,11
2,15626703.05,1,7,2
6,74228136.22,24,2,4
8,27638595.68,6,2,2
5,58672959.05,32,2,5
1,1273701.0,14,6,5
10,57327353.07,3,6,9
7,73714478.54,50,5,4
10,33818790.74,15,7,11
4,21741126.87,13,7,3
1,15895322.46,39,4,12
4,20710556.43,28,7,7
4,12816777.74,13,2,2
10,90291164.05,11,3,7
10,52452378.86,4,4,5
7,84787524.83,22,7,7
6,68880732.19,42,4,2
8,43392133.38,44,6,10
4,74428451.77,37,4,2
6,92816293.46,33,4,8
3,52755618.91,3,4,1
3,23463946.86,19,5,7
6,74153609.52,48,1,5
1,60983799.97,14,4,2
9,62645344.98,18,4,12
5,28480717.66,39,3,12
10,372899.76,28,7,8
8,10871049.07,46,2,4
7,91481932.31,9,6,9
7,45706415.11,26,3,2
5,31477364.62,17,6,7
4,15546627.45,47,6,12
10,85858230.86,22,6,9
1,28519872.24,23,2,10
